Language,Key,Original Text,Translated Text
es,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.","Vitruvian Partners es donde la ambición audaz se encuentra con una ejecución precisa. Conocidos por apoyar a empresas de crecimiento transformador en Europa y más allá, Vitruvian no es solo una firma de capital privado, es un catalizador para el escalado, la innovación y el liderazgo en el sector."
es,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","""Su portafolio parece un quién es quién de innovadores, y su estrategia es todo menos tradicional: capital flexible, amplio conocimiento del sector y un impulso incansable por elevar cada negocio con el que interactúan."""
es,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.","""Si estás construyendo el futuro, Vitruvian es el tipo de socio que no solo lo entiende, sino que lo acelera."""
zh,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.",维特鲁威合伙人将大胆抱负与精准执行完美结合。作为支持欧洲及其他地区变革性增长企业的知名私募股权公司，维特鲁威不仅仅是投资者——它是规模扩张、创新及行业领导的催化剂。
zh,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.",他们的投资组合堪比行业领军人物名录，采用的策略远非传统——灵活的资本运作、深入的行业专长，以及不断提升每一个合作企业的强大动力。
zh,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.",如果您在构建未来，维特鲁威是那种不仅理解您的合作伙伴——还能加速您的进程。
hi,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.","विट्रुवियन पार्टनर्स वह स्थान है जहाँ दृढ़ संकल्प और कुशल कार्यान्वयन मिलते हैं। यूरोप और उससे आगे की परिवर्तनकारी विकास कंपनियों का समर्थन करने के लिए प्रसिद्ध, विट्रुवियन केवल एक निजी इक्विटी फर्म नहीं है—यह विकास, नवाचार और श्रेणी नेतृत्व के लिए एक प्रेरक है।"
hi,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","उनका पोर्टफोलियो गेम-चेंजर्स की सूची जैसा है, और उनकी रणनीति पारंपरिक से कहीं अलग है—लचीली पूंजी, गहरी क्षेत्रीय विशेषज्ञता, और हर व्यवसाय को उन्नत करने की अदम्य इच्छा।"
hi,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.","यदि आप भविष्य बना रहे हैं, तो विट्रुवियन वह साथी है जो न केवल समझता है—बल्कि इसे तेजी से बढ़ाता है।"
ar,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.",فيتروفيان بارتنرز هي المكان الذي تلتقي فيه الطموحات الجريئة بالتنفيذ الدقيق. معروفة بدعم الشركات النامية التحويلية في أوروبا وما وراءها، فيتروفيان ليست مجرد شركة استثمار خاصة - بل هي عامل تحفيز للنمو، الابتكار، والريادة في القطاع.
ar,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.",محفظتهم تشبه قائمة أبرز المبتكرين، واستراتيجيتهم بعيدة كل البعد عن التقليدية—رأس مال مرن، خبرة عميقة في القطاعات، ودافع لا يتوقف لتطوير كل عمل يتعاملون معه.
ar,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.",إذا كنت تبني المستقبل، فإن فيتروفيان هو النوع من الشركاء الذي لا يفهمه فحسب، بل يسرعه.
fr,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.","Vitruvian Partners, là où l'ambition audacieuse rencontre une exécution précise. Reconnu pour soutenir les entreprises en forte croissance à travers l'Europe et au-delà, Vitruvian n'est pas seulement une société de capital-investissement, c'est un catalyseur pour l'expansion, l'innovation et le leadership sectoriel."
fr,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","Leur portefeuille est un véritable bottin des innovateurs, et leur stratégie est tout sauf traditionnelle : capital flexible, expertise approfondie du secteur et une volonté inébranlable d'améliorer chaque entreprise qu'ils touchent."
fr,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.","""Si vous construisez l'avenir, Vitruvian est le partenaire qui non seulement comprend, mais accélère votre projet."""
ru,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.","Vitruvian Partners — там, где смелые амбиции сочетаются с точным исполнением. Известная поддержкой компаний с трансформационным ростом по всей Европе и за её пределами, Vitruvian — это не просто инвестиционная компания, это катализатор масштабирования, инноваций и лидерства в категориях."
ru,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","Их портфолио — как список лидеров инноваций, а стратегия далека от традиционной: гибкий капитал, глубокие знания отрасли и неутолимое стремление улучшать каждый бизнес, с которым они работают."
ru,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.","Если вы строите будущее, Vitruvian — это тот партнер, который не только понимает вас, но и ускоряет ваш прогресс."
pt,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.","A Vitruvian Partners é onde a ambição audaciosa encontra a execução precisa. Conhecida por apoiar empresas de crescimento transformador na Europa e além, a Vitruvian não é apenas uma empresa de private equity — é um catalisador para escala, inovação e liderança de categoria."
pt,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","""O portfólio deles parece um quem é quem de inovadores, e a estratégia deles é tudo, menos tradicional — capital flexível, profundo conhecimento do setor e uma incansável determinação para elevar cada negócio com que interagem."""
pt,about_mission,"If you’re building the future, Vitruvian is the kind of partner that doesn’t just get it—they accelerate it.","Se você está construindo o futuro, a Vitruvian é o tipo de parceiro que não só entende — eles aceleram isso."
bn,about_intro,"Vitruvian Partners is where bold ambition meets sharp execution. Known for backing transformative growth companies across Europe and beyond, Vitruvian isn’t just a private equity firm—it’s a catalyst for scale, innovation, and category leadership.","""ভিট্রুভিয়ান পার্টনার্স হল সাহসী উদ্যোগ এবং তীক্ষ্ণ বাস্তবায়নের মিলনস্থল। ইউরোপ এবং তার বাইরে পরিবর্তনশীল বৃদ্ধি প্রতিষ্ঠানগুলিকে সমর্থন করার জন্য পরিচিত, ভিট্রুভিয়ান শুধু একটি প্রাইভেট ইক্যুইটি ফার্ম নয়—এটি স্কেল, উদ্ভাবন, এবং শ্রেণী নেতৃত্বের জন্য একটি উদ্দীপক।"""
bn,about_strategy,"Their portfolio reads like a who's-who of game-changers, and their strategy is anything but traditional—flexible capital, deep sector expertise, and a relentless drive to elevate every business they touch.","""তাদের পোর্টফোলিও গেম-চেঞ্জারদের তালিকার মতো, এবং তাদের কৌশল ঐতিহ্যবাহী নয়—লচকদার মূলধন, গভীর খাত বিশেষজ্ঞতা, এবং প্রতিটি ব্যবসাকে উন্নত করার অবিরাম প্রচেষ্টা।"""
